2024-02-20,238,бобы,715,717
2024-08-19,357,картофель,342,260
2024-07-19,502,томатная паста,211,2754
2024-08-23,87,майонез,653,5096
2024-06-25,273,лук,81,1421
2024-04-26,566,макароны,295,5023
2024-09-11,711,картофель,977,8394
2024-06-08,882,сливочное масло,508,2225
2024-08-14,714,овсянка,388,3579
2024-06-22,232,бобы,554,1600
2024-05-22,555,картофель,592,8310
2024-04-05,479,растительное масло,381,3816
2024-08-22,132,томатная паста,704,9106
2024-07-13,118,растительное масло,703,52
2024-08-29,80,лук,358,8178
2024-09-25,187,сливочное масло,638,84
2024-09-07,564,рис,250,4686
2024-07-22,732,лук,597,5490
2024-09-18,461,рис,427,6211
2024-07-26,169,овсянка,399,416
2024-05-27,42,томатная паста,517,9724
2024-04-04,946,рис,643,3588
2024-08-12,12,картофель,963,9182
2024-06-28,233,рис,257,739
2024-04-12,570,макароны,789,58
2024-10-10,410,растительное масло,2,1019
2024-09-08,872,яблоки,325,1570
2024-06-01,90,сахар,950,7209
2024-03-18,247,мясо,710,7407
2024-06-12,789,рис,54,2368
2024-08-19,698,макароны,73,5357
2024-06-18,686,томатная паста,255,8058
2024-02-14,456,макароны,704,9533
2024-04-08,422,мука,152,5033
2024-08-10,863,мясо,952,1594
2024-06-15,274,уксус,227,7138
2024-01-02,446,бобы,720,8177
2024-01-14,128,томатная паста,675,1494
2024-08-22,62,сахар,486,4951
2024-09-19,390,сахар,791,5163
2024-01-18,183,растительное масло,695,3165
2024-06-30,617,картофель,308,2917
2024-10-08,432,бобы,449,8715
2024-09-16,769,мука,301,9678
2024-07-09,402,капуста,372,6
2024-06-28,616,рис,881,4282
2024-06-23,130,мука,904,6282
2024-01-30,817,мука,25,1913
2024-04-15,727,капуста,309,5645
2024-06-16,291,картофель,848,2800
2024-06-16,637,макароны,687,8582
2024-05-15,485,сливочное масло,548,5207
2024-10-11,606,мясо,319,5032
2024-06-19,677,уксус,786,4126
2024-05-04,908,томатная паста,375,8714
2024-07-22,44,сливочное масло,831,221
2024-09-25,892,бобы,600,7487
2024-01-24,981,лук,509,902
2024-02-09,550,макароны,674,1685
2024-07-25,979,мясо,380,5039
2024-02-22,831,яблоки,431,9530
2024-01-21,262,сливочное масло,726,5940
2024-01-10,692,макароны,522,3833
2024-08-20,731,мука,706,9898
2024-03-26,432,капуста,782,6810
2024-04-20,703,томатная паста,74,6528
2024-04-22,624,майонез,329,631
2024-10-14,536,макароны,693,3009
2024-07-27,271,томатная паста,722,1460
2024-01-18,407,макароны,65,5996
2024-05-14,525,рис,778,2876
2024-08-15,542,мясо,191,1293
2024-10-02,515,картофель,943,1762
2024-05-18,901,уксус,322,6786
2024-07-03,335,майонез,304,2230
2024-04-14,104,яблоки,979,3578
2024-05-12,46,сахар,283,6129
2024-03-12,778,томатная паста,45,5180
2024-07-15,911,макароны,113,3265
2024-05-20,725,томатная паста,342,8858
2024-09-10,721,лук,332,9263
2024-01-21,42,майонез,939,1966
2024-09-14,848,макароны,429,6486
2024-07-25,591,лук,183,9579
2024-04-06,789,мясо,506,8554
2024-10-06,695,картофель,402,6701
2024-02-24,631,овсянка,392,2268
2024-07-12,453,лук,215,5039
2024-09-12,537,мука,561,7281
2024-09-28,257,лук,323,2338
2024-05-27,493,бобы,487,7636
2024-06-07,964,уксус,525,8751
2024-08-05,145,сахар,959,973
2024-01-05,404,сахар,444,991
2024-07-19,440,сахар,11,7130
2024-04-18,352,яблоки,80,325
2024-05-18,427,сливочное масло,691,9476
2024-04-21,778,лук,935,4505
2024-03-06,276,мука,723,7780
2024-09-17,295,лук,363,1290
2024-05-29,31,овсянка,801,6514
2024-01-16,965,капуста,768,8620
2024-04-21,336,макароны,460,7416
2024-04-26,241,уксус,622,5438
2024-04-04,525,растительное масло,527,1699
2024-04-21,187,бобы,872,5738
2024-03-26,148,майонез,562,9504
2024-01-15,422,уксус,528,8815
2024-03-27,984,рис,161,9984
2024-04-09,258,картофель,67,5974
2024-05-12,577,сахар,347,7189
2024-05-19,710,уксус,917,6176
2024-02-10,373,яблоки,208,4128
2024-07-06,897,яблоки,629,3387
2024-06-23,681,томатная паста,882,4330
2024-06-29,175,уксус,975,1880
2024-09-16,745,яблоки,313,2827
2024-08-24,867,бобы,457,2812
2024-07-16,11,макароны,730,4933
2024-02-05,108,растительное масло,403,2338
2024-09-30,383,овсянка,328,3871
2024-09-27,772,майонез,372,2077
2024-03-15,271,томатная паста,380,3694
2024-05-26,533,рис,727,3582
2024-03-21,30,капуста,53,3841
